,Content,Location,Username,Retweet-Count,Favorites,Created at
94,"How's everyone enjoying Obama's third term as president? 
#DementiaJoe #BidenBorderCrisis #bidenpressconference #BidenLied",United States,1nsertCoin,0,1,2021-03-29 20:42:43
95,Diversity personified? Something wrong here. I’d say very wrong! #BidenLied #bidenpressconference #1776AllOverAgain #AbsoluteProof #BidenBorderCrisis https://t.co/avEKPBe0b3,"North West, England",arhselk,0,1,2021-03-29 20:38:18
96,"Are you kidding me?  What a farce! 
By letting 10,000 child in who are getting exposed to Covid? @VP quit laughing!#BidenBorderCrisis 
#BidenLied 
#DementiaJoe https://t.co/UfQGV2cHPb",,Jaynianderson1,1,1,2021-03-29 20:33:08
97,@KTVU What makes the remaining 10% ineligible?!? 😉🤣😂😂😂 #SCAMDEMIC2021 #scamdemic #BidenLied,"San Francisco, CA",Absolut_Will,0,0,2021-03-29 20:30:32
98,"The Biden administration is developing a national coronavirus 'vaccine-passport' program for Americans https://t.co/xRJxJbpW8O via @businessinsider 
#BidenLied","El Paso, TX",ChungOstrander,0,0,2021-03-29 20:16:55
99,@POTUS you are not POTUS Joe. We will not 'mask up' any longer. #WeThePeople are done with your bull💩 #chinavirus! And we will not accept your #Passport. #Nuremberg2021 #bidenpressconference #DementiaJoe #BidenLied #COVID19 #Covid_19,,Ginsy15,0,0,2021-03-29 20:14:38
100,@POTUS @JoeBiden @SpeakerPelosi  How are you able to have this ideology? #mindless #buildthewall #BidenBorderCrisis #BidenLied #BidensBorderCrisis https://t.co/Ur8keT5XU5,America,brokenveteran03,0,0,2021-03-29 20:03:05
101,"...more HATE crime from BLACKS #BLM against Asians #stopAAPIHate   #ABCNews   #CNN #Hannity #TuckerCarlson #AmericaFirst #FoxNews #OANN #Newsmax #TheFive #Bidenfall #CancelCulture #Trump2024 #woke #BlackLivesMatter #antifa #BidenLied #Biden 
 https://t.co/E8ZexeAt65",,Cazzimmax,1,2,2021-03-29 19:49:02
102,"@AP The impending doom, wait for it... it’s ppl not listening and using common sense. The Dems are losing their power grip on everyone. Biden is begging governors to comply. House of cards falling fast. #BorderCrisis #BidensAmerica #bidenhasdementia #BidenLied","Dracut, MA",ChrisCanio,0,1,2021-03-29 19:07:08
103,"@YahyaJohn @w_terrence Your “real President” did all he could to make the border problem WORSE. 
Congrats! #BidenBorderCrisis #BidenLied #BuckFiden https://t.co/8vL9vIF6Xp",North Georgia,Jbucchi79,0,0,2021-03-29 19:04:27
